Report Written : 04/02/2021 19:07:12
CSV File Name : C:\Users\Kedung Kandang\Documents\MY3D\Robot LKS\Robot LKS.csv
Design Path : C:\Users\Kedung Kandang\Documents\MY3D\Robot LKS\Robot LKS.rsdoc
Design Title : 
Created : 04/02/2021 10:13:47
Last Saved : 04/02/2021 19:06:25
Units : Metric ( mm / g / Degrees )

Bill of Materials generated with DesignSpark Mechanical - www.DesignSpark.com/mechanical

ITEM NO.,PART NUMBER,QTY
1,Vslot 400mm,2
2,Vslot 320mm,2
